Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
-1.62,0.27,10.26,-85.13,17.56,-28.80,250,34,D
-3.00,-0.69,10.99,-84.30,-23.09,-24.22,300,34,D
-2.14,-1.61,9.69,-84.87,1.66,-9.35,350,34,D
-2.31,-2.17,10.15,-81.76,-12.27,-1.59,400,34,D
-1.95,-3.07,10.61,-80.26,-17.46,-6.68,450,34,D
-0.58,3.98,8.22,-63.58,-0.58,-25.15,0,35,D
-1.97,2.92,8.80,-67.19,-4.80,-26.65,50,35,D
-1.80,2.60,8.85,-74.78,-2.14,-26.38,100,35,D
-2.51,1.66,9.99,-77.37,-21.50,-20.63,150,35,D
-1.45,1.09,9.19,-74.26,2.58,-14.80,200,35,D
-2.09,0.53,10.33,-66.93,-13.73,-12.77,250,35,D
-1.77,-0.16,9.94,-61.89,3.69,-17.01,300,35,D
-1.93,-0.66,10.22,-52.15,-5.87,-15.27,350,35,D
-2.17,-1.03,9.92,-51.87,9.16,-13.38,400,35,D
-2.51,-1.90,10.14,-47.24,-9.95,-8.59,450,35,D
-3.30,4.14,6.51,-45.19,-1.71,-11.90,0,36,D
-1.91,3.81,5.14,-72.01,6.26,-12.97,50,36,D
-2.72,2.76,7.58,-104.46,-3.63,-24.72,100,36,D
-1.59,1.68,7.94,-110.78,-18.30,-35.39,150,36,D
-4.71,-0.01,11.72,-102.09,-19.68,-34.82,200,36,D
-3.30,0.14,10.32,-84.43,-4.80,-29.85,250,36,D
-3.39,-0.47,9.89,-66.70,-9.25,-23.83,300,36,D
-3.17,-1.37,8.91,-59.09,-0.26,-20.85,350,36,D
-3.19,-1.87,8.65,-63.77,10.15,-21.62,400,36,D
-3.10,-2.60,9.18,-63.79,-11.51,-18.18,450,36,D
-1.74,3.20,6.91,-83.69,3.22,-31.22,0,37,D
-3.80,2.10,9.89,-79.03,-42.98,-19.13,50,37,D
-2.78,2.02,8.58,-89.60,19.04,-21.13,100,37,D
-3.49,1.05,9.60,-74.70,-33.97,-10.72,150,37,D
-2.43,0.21,8.55,-80.91,8.16,-9.20,200,37,D
-2.55,-1.42,9.43,-80.49,-10.09,-21.64,250,37,D
-2.34,-2.01,9.24,-75.93,-0.50,-32.30,300,37,D
-2.77,-2.19,9.73,-69.18,-4.36,-31.05,350,37,D
-3.03,-2.91,9.16,-66.23,-5.71,-25.22,400,37,D
-2.79,-3.52,8.94,-64.02,-4.20,-24.25,450,37,D
-0.29,5.91,5.95,-67.93,18.17,-42.37,0,38,D
-0.40,5.59,6.10,-89.99,49.13,-50.38,50,38,D
-1.21,4.70,4.89,-125.22,31.64,-36.49,100,38,D
-3.87,3.20,8.79,-173.93,-7.79,-17.28,150,38,D
-0.87,1.53,10.22,-189.16,-15.08,-4.73,200,38,D
-2.33,-0.20,11.45,-173.40,-44.88,2.83,250,38,D
